"","X","date_month","count_spotify_korean","count_netflix_korean","total_spotify_and_netflix","rolling_avg_3_month","rolling_avg_6_month","percent_change_6_month","trend_6_month"
"1",1,2017-02-01,36,6,66,66,66,0,"Steady"
"2",2,2017-03-01,4,4,24,45,45,-31.82,"Decline"
"3",3,2017-04-01,19,6,49,46.3,46.3,2.89,"Steady"
"4",4,2017-05-01,0,7,35,36,43.5,-6.05,"Steady"
"5",5,2017-06-01,0,8,40,41.3,42.8,-1.61,"Steady"
"6",6,2017-07-01,6,1,11,28.7,37.5,-12.38,"Steady"
"7",7,2017-08-01,0,4,20,23.7,29.8,-20.53,"Decline"
"8",8,2017-09-01,51,1,56,29,35.2,18.12,"Steady"
"9",9,2017-10-01,26,2,36,37.3,33,-6.25,"Steady"
"10",10,2017-11-01,11,2,21,37.7,30.7,-6.97,"Steady"
"11",11,2017-12-01,51,2,61,39.3,34.2,11.4,"Steady"
"12",12,2018-01-01,33,5,58,46.7,42,22.81,"Rise"
"13",13,2018-02-01,6,9,51,56.7,47.2,12.38,"Steady"
"14",14,2018-03-01,18,2,28,45.7,42.5,-9.96,"Steady"
"15",15,2018-04-01,0,2,10,29.7,38.2,-10.12,"Steady"
"16",16,2018-05-01,84,3,99,45.7,51.2,34.03,"Rise"
"17",17,2018-07-01,0,1,5,38,41.8,-18.36,"Steady"
"18",18,2018-08-01,27,2,37,47,38.3,-8.37,"Steady"
"19",19,2018-09-01,10,3,25,22.3,34,-11.23,"Steady"
"20",20,2018-10-01,13,2,23,28.3,33.2,-2.35,"Steady"
"21",21,2018-11-01,56,1,61,36.3,41.7,25.6,"Rise"
"22",22,2018-12-01,39,3,54,46,34.2,-17.99,"Steady"
"23",23,2019-01-01,8,2,18,44.3,36.3,6.14,"Steady"
"24",24,2019-02-01,0,3,15,29,32.7,-9.92,"Steady"
"25",25,2019-03-01,0,3,15,16,31,-5.2,"Steady"
"26",26,2019-04-01,132,5,157,62.3,53.3,71.94,"Sharp Rise"
"27",27,2019-05-01,85,4,105,92.3,60.7,13.88,"Steady"
"28",28,2019-06-01,40,1,45,102.3,59.2,-2.47,"Steady"
"29",29,2019-07-01,27,6,57,69,65.7,10.98,"Steady"
"30",30,2019-08-01,0,8,40,47.3,69.8,6.24,"Steady"
"31",31,2019-09-01,3,3,18,38.3,70.3,0.72,"Steady"
"32",32,2019-10-01,27,12,87,48.3,58.7,-16.5,"Steady"
"33",33,2019-11-01,18,7,53,52.7,50,-14.82,"Steady"
"34",34,2019-12-01,1,5,26,55.3,46.8,-6.4,"Steady"
"35",35,2020-01-01,31,8,71,50,49.2,5.13,"Steady"
"36",36,2020-02-01,133,4,153,83.3,68,38.21,"Rise"
"37",37,2020-03-01,16,2,26,83.3,69.3,1.91,"Steady"
"38",38,2020-04-01,18,4,38,72.3,61.2,-11.69,"Steady"
"39",39,2020-05-01,3,5,28,30.7,57,-6.86,"Steady"
"40",40,2020-06-01,25,8,65,43.7,63.5,11.4,"Steady"
"41",41,2020-07-01,53,3,68,53.7,63,-0.79,"Steady"
"42",42,2020-08-01,28,2,38,57,43.8,-30.48,"Decline"
"43",43,2020-09-01,103,3,118,74.7,59.2,35.16,"Rise"
"44",44,2020-10-01,148,5,173,109.7,81.7,38.01,"Rise"
"45",45,2020-11-01,94,6,124,138.3,97.7,19.58,"Steady"
"46",46,2020-12-01,56,6,86,127.7,101.2,3.58,"Steady"
"47",47,2021-01-01,62,4,82,97.3,103.5,2.27,"Steady"
"48",48,2021-02-01,52,4,72,80,109.2,5.51,"Steady"
"49",49,2021-03-01,37,4,57,70.3,99,-9.34,"Steady"
"50",50,2021-04-01,46,4,66,65,81.2,-17.98,"Steady"
"51",51,2021-05-01,31,2,41,54.7,67.3,-17.12,"Steady"
"52",52,2021-06-01,71,3,86,64.3,67.3,0,"Steady"
"53",53,2021-07-01,86,4,106,77.7,71.3,5.94,"Steady"
"54",54,2021-08-01,69,2,79,90.3,72.5,1.68,"Steady"
"55",55,2021-09-01,36,2,46,77,70.7,-2.48,"Steady"
