"show_id","type","title","director","cast","country","date_added","release_year","rating","duration","listed_in","description","date_added_asdate","date_month"
"s105","TV Show","Tayo the Little Bus","","Robyn Slade, Kami Desilets","South Korea","September 6, 2021",2016,"TV-Y","2 Seasons","Kids' TV, Korean TV Shows","As they learn their routes around the busy city, Tayo and his little bus friends discover new sights and go on exciting adventures every day.",2021-09-06,"2021-09"
"s125","TV Show","Pororo - The Little Penguin","","","South Korea","September 2, 2021",2013,"TV-Y7","3 Seasons","Kids' TV, Korean TV Shows","On a tiny island, Pororo the penguin has fun adventures with his friends Eddy the fox, Loopy the beaver, Poby the polar bear and Crong the dinosaur.",2021-09-02,"2021-09"
"s194","TV Show","D.P.","","Jung Hae-in, Koo Kyo-hwan, Kim Sung-kyun, Son Suk-ku",", South Korea","August 27, 2021",2021,"TV-MA","1 Season","International TV Shows, TV Dramas","A young private’s assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty.",2021-08-27,"2021-08"
"s290","TV Show","The Crowned Clown","","Yeo Jin-goo, Lee Se-young, Kim Sang-kyung, Jung Hye-young, Jang Kwang, Kwon Hae-hyo, Jang Yeong-nam, Lee Kyu-han","South Korea","August 10, 2021",2019,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Dramas","Standing in for an unhinged Joseon king, a look-alike clown plays the part but increasingly becomes devoted to protecting the throne and the people.",2021-08-10,"2021-08"
"s457","TV Show","Her Private Life","","Park Min-young, Kim Jae-uk, Ahn Bo-hyun, Jung Je-won, Park Jin-joo, Kim Bo-ra, Maeng Sang-hun, Kim Mee-kyung, Kim Sun-young, Lee Il-hwa","South Korea","July 15, 2021",2019,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","An art curator's life unravels, as she tries to keep her pastime as a die-hard K-pop fan secret from her gallery's new director.",2021-07-15,"2021-07"
"s546","TV Show","YooHoo to the Rescue","","Kira Buckland, Ryan Bartley, Bryce Papenbrook, Cassandra Morris, Lucien Dodge, Kyle Hebert","South Korea","July 6, 2021",2020,"TV-Y","3 Seasons","Kids' TV, Korean TV Shows","In a series of magical missions, quick-witted YooHoo and his can-do crew travel the globe to help animals in need.",2021-07-06,"2021-07"
"s556","Movie","Snowpiercer","Bong Joon Ho","Chris Evans, Song Kang-ho, Ed Harris, John Hurt, Tilda Swinton, Jamie Bell, Octavia Spencer, Ewen Bremner, Alison Pill, Adnan Haskovic, Vlad Ivanov, Ko A-sung, Luke Pasqualino","South Korea, Czech Republic","July 2, 2021",2013,"R","126 min","Action & Adventure, Cult Movies, International Movies","The Earth's remaining inhabitants are confined to a single train circling the globe as revolution brews among the class-divided cars.",2021-07-02,"2021-07"
"s557","Movie","The 8th Night","Kim Tae-hyung","Lee Sung-min, Park Hae-joon, Kim You-jung, Nam Da-reum, Choi Jin-ho, Kim Dong-yeong, Lee Eal","South Korea","July 2, 2021",2021,"TV-14","116 min","Horror Movies, International Movies, Thrillers","With prayer beads in one hand and an ax in the other, a monk hunts down a millennia-old spirit that's possessing humans and unleashing hell on Earth.",2021-07-02,"2021-07"
"s687","TV Show","Hospital Playlist","","Cho Jung-seok, Yoo Yeon-seok, Jung Kyung-ho, Kim Dae-myeong, Jeon Mi-do, Kim Hae-suk, Kim Kap-soo, Jung Moon-sung","South Korea","June 18, 2021",2021,"TV-14","2 Seasons","International TV Shows, Korean TV Shows, TV Comedies","Every day is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.",2021-06-18,"2021-06"
"s732","TV Show","Love (ft. Marriage and Divorce)","","Sung Hoon, Lee Tae-gon, Park Joo-mi, Lee Ga-ryoung, Lee Min-young, Jeon No-min, Jeon Soo-kyeong, Lim Hye-young, Song Ji-in, Moon Sung-ho, Roh Joo-hyun, Kim Ameliia, Kim Eung-soo, Lee Jong-nam, Lee Hyo-chun, Jun Hye-won, Lim Han-bin, Park Seo-kyung, Shin Su-ho, Yun Seo-hyun","South Korea","June 12, 2021",2021,"TV-14","2 Seasons","International TV Shows, TV Dramas","Everything comes unraveling for three successful women who work on a radio show as twists, turns and troubles plague their seemingly happy marriages.",2021-06-12,"2021-06"
