artist,is_korean
Migos,FALSE
Drake,FALSE
"The Weeknd, Daft Punk",FALSE
"The Chainsmokers, Halsey",FALSE
"Rae Sremmurd, Gucci Mane",FALSE
Shelley FKA DRAM,FALSE
[bsd.u],FALSE
Aminé,FALSE
"DJ Snake, Justin Bieber",FALSE
Big Sean,FALSE
Bruno Mars,FALSE
Machine Gun Kelly,FALSE
"21 Savage, Metro Boomin",FALSE
"ZAYN, Taylor Swift",FALSE
"Maroon 5, Kendrick Lamar",FALSE
Rob $tone,FALSE
J. Cole,FALSE
Young M.A,FALSE
The Weeknd,FALSE
Chance the Rapper,FALSE
"Hailee Steinfeld, Grey, Zedd",FALSE
The Chainsmokers,FALSE
"Ariana Grande, Nicki Minaj",FALSE
Shawn Mendes,FALSE
"Martin Garrix, Bebe Rexha",FALSE
"Drake, 21 Savage",FALSE
Justin Timberlake,FALSE
Fifth Harmony,FALSE
Twenty One Pilots,FALSE
Lil Uzi Vert,FALSE
Ariana Grande,FALSE
"Drake, Rihanna",FALSE
Calvin Harris,FALSE
James Arthur,FALSE
"The Chainsmokers, Phoebe Ryan",FALSE
"Young Thug, Travis Scott",FALSE
Sia,FALSE
Rihanna,FALSE
Major Lazer,FALSE
Desiigner,FALSE
Alessia Cara,FALSE
"Rihanna, Drake",FALSE
Starley,FALSE
Rae Sremmurd,FALSE
Adele,FALSE
John Legend,FALSE
Justin Bieber,FALSE
"Zay Hilfigerrr, Zayion McCall",FALSE
"Drake, Future",FALSE
"The Weeknd, Kendrick Lamar",FALSE
The Jackson 5,FALSE
DNCE,FALSE
Future,FALSE
Travis Scott,FALSE
Childish Gambino,FALSE
"Steve Aoki, Louis Tomlinson",FALSE
Michael Jackson,FALSE
Clean Bandit,FALSE
"Marvin Gaye, Tammi Terrell",FALSE
Lil Wayne,FALSE
Shakira,FALSE
Foster The People,FALSE
G-Eazy,FALSE
DJ ESCO,FALSE
Sage The Gemini,FALSE
Mike Posner,FALSE
Pharrell Williams,FALSE
Jon Bellion,FALSE
Lil Yachty,FALSE
M.I.A.,FALSE
David Guetta,FALSE
Queen,FALSE
Post Malone,FALSE
"The Vamps, Matoma",FALSE
Cashmere Cat,FALSE
"G-Eazy, Bebe Rexha",FALSE
gnash,FALSE
"Kodak Black, PnB Rock",FALSE
Bryson Tiller,FALSE
Ugly God,FALSE
Daryl Hall & John Oates,FALSE
