"artist","count"
"""Weird Al"" Yankovic",11
"$NOT",13
"$hyfromdatre",21
"$ilkMoney",50
"$uicideboy$",431
"(G)I-DLE",1
"*NSYNC",77
"070 Shake",45
"1 AMVRKA",3
"100 gecs",4
"100 gecs, Laura Les, Dylan Brady",59
"10k.Caash",25
"10k.Caash, GUN40",14
"116, Andy Mineo, 1K Phew, Tedashii, WHATUPRG, Lecrae, Trip Lee, CASS",7
"17 Memphis",8
"190118",2
"2 Chainz",205
"2 Chainz, Drake",7
"2 Chainz, Gucci Mane, Quavo",130
"2 Chainz, Latto",2
"2 Chainz, Migos",9
"2 Chainz, Nicki Minaj",5
"2 Chainz, Swae Lee",2
"2 Chainz, Travis Scott",213
"2 Chainz, Ty Dolla $ign, Trey Songz, Jhené Aiko",403
"2 Chainz, YG, Offset",31
"21 Savage",1684
"21 Savage, Metro Boomin",1197
"21 Savage, Offset, Metro Boomin",39
"21 Savage, Offset, Metro Boomin, Quavo",36
"21 Savage, Offset, Metro Boomin, Travis Scott",149
"21 Savage, YBN Nahmir",41
"22 Savage",16
"220 KID, LANY",1
"22Gz",5
"24hrs",7
"24kGoldn",1071
"2Pac",3
"2Pac, Roger, Dr. Dre",1
"2gether",1
"300yearsyoung, Joeyy2y's",7
"311",8
"347aidan",79
"3LAU, Carly Paige",7
"3LAU, LUNA AURA",4
"3ohBlack",33
"42 Dugg",166
"420 Unlovable, Splash Daddy, Okthxbb",29
"5 Seconds of Summer",978
"50 Cent",2
"6 Dogs",15
"641",1
"645AR",64
"6LACK",728
"6LACK, Jhené Aiko",3
"6ix9ine",835
"6ix9ine, A Boogie Wit da Hoodie",44
"6ix9ine, Akon",2
"6ix9ine, Anuel AA",103
"6ix9ine, Bobby Shmurda",77
"6ix9ine, DJ SpinKing",133
"6ix9ine, Fetty Wap, A Boogie Wit da Hoodie",107
"6ix9ine, Gunna",7
"6ix9ine, Kanye West",11
"6ix9ine, Lil Baby",42
"6ix9ine, Nicki Minaj, Kanye West",58
"6ix9ine, Nicki Minaj, Murda Beatz",128
"6ix9ine, Off Set",1
"6ix9ine, Tory Lanez",130
"6ix9ine, Tory Lanez, Young Thug",28
"6ix9ine, TrifeDrew",3
"73bands",1
"80purppp",49
"83 Babies",33
"88GLAM",23
"88rising, Higher Brothers, BlocBoy JB",1
"88rising, Joji",7
"88rising, Joji, BlocBoy JB",8
"88rising, Joji, Jackson Wang",1
"88rising, Joji, Rich Brian, Higher Brothers, AUGUST 08",34
"88rising, Rich Brian",7
"9 Theory, Dawn Mitschele, Scarub",1
"A Boogie Wit da Hoodie",2361
"A Boogie Wit da Hoodie, Don Q",10
"A Boogie Wit da Hoodie, Don Q, Trap Manny",3
"A Day To Remember",2
"A Firm Handshake",6
"A Perfect Circle",25
"A R I Z O N A",110
"A Second Life",3
"A$AP Ferg",566
"A$AP Ferg, Elle Fanning",7
"A$AP Ferg, MadeinTYO",10
"A$AP Mob",136
"A$AP Rocky",528
"A$AP Rocky, Gucci Mane, 21 Savage",34
"A$AP Twelvyy",18
"A-Trak",3
"A-Trak, Quavo, Lil Yachty",9
"A-Trak, YehMe2",4
"A-Wall",177
"A.CHAL",14
"ABBA",1
"ABRA, Boys Noize",7
"AC/DC",17
"ACRAZE, Cherish",150
"AFSHEEN, NISHA",1
"AG Club",27
"AGNEZ MO",10
"AHI",6
"AJ Mitchell",11
"AJ Salvatore, Fluencee",4
"AJR",554
"AJR, Rivers Cuomo",76
"AK420",4
"ALI, AKLO",70
"ALIUS, Rasmus Hagen",3
"ALMA, French Montana",7
"ALMA, Tove Styrke",1
"ANH, quickly, quickly",2
"ANNA",4
"AREA21",17
"ARTY",5
"ARY",6
"ASHS",21
"ASTN",26
"ATB, Topic, A7S",28
"AUGUST 08",4
"AURORA",95
"AUSTN",9
"AXSHN, Sofía Reyes",5
"Aaliyah",68
"Aaliyah, The Weeknd",2
"Aaron Carter",81
"Aaron Lewis",17
"Aaron Smith",122
"Ab-Soul",28
"Abby Anderson",4
"Abe M Beats",2
"Abigail Barlow",14
"Above & Beyond, Zoë Johnston",7
"Abraham Mateo, Farruko, Christian Daniel",5
"Absofacto",81
"Ace Hashimoto, RAU DEF",2
"Action Bronson",5
"Action Pack",15
"Adam Beyer, Dense & Pika",2
"Adam Counts",7
"Adam Doleac",25
"Adam Friedman",7
"Adam Hambrick",9
"Adam K, Soha",7
"Adam Lambert",7
"Adam Mitchell, Stanley Tucci, Ewan McGregor, Gugu Mbatha-Raw, Ian McKellen, Emma Thompson, Emma Watson, Audra McDonald, Clive Rowe",9
"Adam Sample",7
"Adam Sandler",35
"Addison Grace",1
"Addison Rae",1
"Adele",628
"Adolphson & Falk",6
"Adrianne Lenker",1
"Adriel Cruz, Aha Gazelle",3
"Afro Music",2
"Afrojack, Stanaj",3
"AfterDeath",2
"Against The Current",3
"Agust D",19
"Agust D, MAX",1
"Agust D, NiiHWA",1
"Agust D, RM",1
"Aha Gazelle, MC Fiji",1
"Ajdaguru",1
"Al Jarreau",11
"Alae",7
"Alaina Castillo",17
"Alan Gogoll",4
"Alan Menken",3
"Alan Walker, Au/Ra, Tomine Harket",8
"Alan Walker, Gavin James",7
"Alan Walker, Noah Cyrus, Digital Farm Animals",35
"Alan Walker, Sabrina Carpenter, Farruko",54
"Alanna Ubach, Antonio Sol",5
"Albert Hammond Jr",6
"Alec Benjamin",237
"Alec King",2
"Alee",9
"Alessia Cara",390
"Alessia Cara, Major Lazer",1
"Alesso",67
"Alesso, Anitta",5
"Alesso, Marshmello",4
"Alex Aiono",9
"Alex Brightman, Sophia Anne Caruso, Kerry Butler, Rob McClure",32
"Alex Cruz, Gabbi Lieve",6
"Alex Da Kid",7
"Alex Hall",2
"Alex Isley, Masego, Jack Dine",7
"Alex Lustig",5
"Alex Sensation, Ozuna",14
"Alex Warren",7
"Alexander 23",72
"Alexander Rybak",9
"Alexcis",6
"Alextbh",6
"Ali Gatie",481
"Alice In Chains",4
"Alice Kristiansen",4
"Alicia Keys",10
"Alina Baraz",37
"Aliotta Haynes Jeremiah",4
"Alison Wonderland",5
"Alison Wonderland, Trippie Redd",4
"Alkaline Trio",3
"All Time Low",89
"Allan Holdsworth",2
