"artist","total_count","is_korean"
"Post Malone",14004,FALSE
"Juice WRLD",12127,FALSE
"Drake",11922,FALSE
"XXXTENTACION",9551,FALSE
"Travis Scott",8704,FALSE
"Lil Uzi Vert",7940,FALSE
"Billie Eilish",7805,FALSE
"Khalid",6862,FALSE
"The Weeknd",5797,FALSE
"Bad Bunny",5369,FALSE
"Ariana Grande",5290,FALSE
"J. Cole",5113,FALSE
"Lil Baby",5032,FALSE
"Taylor Swift",4673,FALSE
"Kendrick Lamar",4399,FALSE
"DaBaby",4329,FALSE
"Cardi B",4167,FALSE
"Future",4142,FALSE
"Ed Sheeran",3964,FALSE
"Morgan Wallen",3863,FALSE
"Migos",3860,FALSE
"21 Savage",3745,FALSE
"Young Thug",3545,FALSE
"Luke Combs",3437,FALSE
"Justin Bieber",3295,FALSE
"Kodak Black",3278,FALSE
"Quavo",3168,FALSE
"Polo G",3166,FALSE
"Doja Cat",3126,FALSE
"J Balvin",3097,FALSE
"Pop Smoke",3090,FALSE
"Marshmello",3071,FALSE
"Dua Lipa",3040,FALSE
"The Chainsmokers",2872,FALSE
"A Boogie Wit da Hoodie",2763,FALSE
"Harry Styles",2718,FALSE
"Trippie Redd",2701,FALSE
"Olivia Rodrigo",2605,FALSE
"Metro Boomin",2455,FALSE
"Eminem",2440,FALSE
"Halsey",2395,FALSE
"Swae Lee",2354,FALSE
"Imagine Dragons",2319,FALSE
"Logic",2265,FALSE
"Dan + Shay",2255,FALSE
"Camila Cabello",2239,FALSE
"Bruno Mars",2221,FALSE
"Roddy Ricch",2218,FALSE
"YNW Melly",2162,FALSE
"Lil Nas X",2155,FALSE
"Kanye West",2135,FALSE
"Gucci Mane",2081,FALSE
"Lil Skies",2001,FALSE
"Shawn Mendes",1999,FALSE
"Offset",1968,FALSE
"Lewis Capaldi",1902,FALSE
"Nicki Minaj",1892,FALSE
"Megan Thee Stallion",1887,FALSE
"Lauv",1872,FALSE
"DJ Khaled",1835,FALSE
"Maroon 5",1814,FALSE
"6ix9ine",1802,FALSE
"Lil Tecca",1792,FALSE
"Chance the Rapper",1782,FALSE
"Lil Mosey",1758,FALSE
"Bazzi",1670,FALSE
"The Kid LAROI",1636,FALSE
"Joji",1632,FALSE
"Bebe Rexha",1627,FALSE
"Lizzo",1621,FALSE
"Jack Harlow",1619,FALSE
"Chris Brown",1600,FALSE
"Big Sean",1569,FALSE
"Kane Brown",1568,FALSE
"SZA",1556,FALSE
"blackbear",1556,FALSE
"NAV",1538,FALSE
"Ozuna",1538,FALSE
"The Creator",1524,FALSE
"Tyler",1524,FALSE
"NLE Choppa",1517,FALSE
"Zedd",1478,FALSE
"Sam Smith",1432,FALSE
"BTS",1422,TRUE
"Mustard",1397,FALSE
"Machine Gun Kelly",1390,FALSE
"Playboi Carti",1390,FALSE
"6LACK",1377,FALSE
"Ty Dolla $ign",1372,FALSE
"G-Eazy",1318,FALSE
"Tyga",1317,FALSE
"Calvin Harris",1307,FALSE
"Gunna",1298,FALSE
"Lil Tjay",1294,FALSE
"James Arthur",1287,FALSE
"Daddy Yankee",1280,FALSE
"Rae Sremmurd",1271,FALSE
"Diplo",1256,FALSE
"Selena Gomez",1246,FALSE
